Tỉnh/Thành phố,Chi phí hành chính,Chi phí không chính thức,Thiết chế pháp lý
An Giang,8.3,6.08,3.3
Bắc Ninh,10.0,8.42,9.69
Cao Bằng,1.78,4.15,6.59
Cà Mau,7.07,5.43,0.51
Cần Thơ,4.59,8.8,7.7
Đà Nẵng,7.56,6.94,9.33
Đắk Lắk,4.1,7.92,6.53
Điện Biên,3.6,8.33,3.93
Đồng Nai,8.05,5.08,4.49
Đồng Tháp,6.13,2.52,9.51
Gia Lai,6.19,7.22,6.86
Hà Nội,6.11,6.17,0.42
Hà Tĩnh,4.14,5.49,6.91
Hải Phòng,9.07,7.56,5.06
Huế,0.0,7.09,5.23
Hưng Yên,4.6,9.04,2.81
Khánh Hòa,4.23,7.25,5.37
Lai Châu,3.25,4.03,1.53
Lào Cai,3.96,7.57,6.52
Lâm Đồng,5.58,6.04,6.66
Lạng Sơn,2.28,9.93,4.91
Nghệ An,4.69,4.7,7.04
Ninh Bình,6.57,10.0,9.87
Phú Thọ,3.89,7.7,7.5
Quảng Ngãi,4.83,0.45,8.75
Quảng Ninh,4.34,7.6,9.1
Quảng Trị,0.93,1.34,0.0
Sơn La,2.94,6.88,4.65
Tây Ninh,9.77,4.64,9.83
Thanh Hóa,5.18,8.29,8.16
Thái Nguyên,4.25,5.5,7.76
TP. Hồ Chí Minh,5.3,3.3,5.17
Tuyên Quang,3.08,7.2,10.0
Vĩnh Long,1.3,0.0,8.5
,4.93,6.1,6.13
Thấp nhất,0.0,0.0,0.0
Cao nhất,10.0,10.0,10.0
Trung vị,4.6,6.91,6.63
